Tiempo (s)	Voltaje (V)
0.000000	2.587182
0.001000	2.575238
0.002000	2.566200
0.003000	2.561680
0.004000	2.562649
0.005000	2.565877
0.006000	2.565554
0.007000	2.558452
0.008000	2.548123
0.009000	2.533596
0.010000	2.520684
0.011000	2.515842
0.012000	2.521007
0.013000	2.538115
0.014000	2.566523
0.015000	2.596221
0.016000	2.618172
0.017000	2.635281
0.018000	2.641737
0.019000	2.633989
0.020000	2.621077
0.021000	2.606228
0.022000	2.596544
0.023000	2.593316
0.024000	2.596221
0.025000	2.601709
0.026000	2.609779
0.027000	2.618172
0.028000	2.614621
0.029000	2.603323
0.030000	2.587182
0.031000	2.572333
0.032000	2.564263
0.033000	2.562649
0.034000	2.568459
0.035000	2.579435
0.036000	2.588796
0.037000	2.588151
0.038000	2.577821
0.039000	2.562649
0.040000	2.549414
0.041000	2.542312
0.042000	2.542635
0.043000	2.548445
0.044000	2.557484
0.045000	2.562003
0.046000	2.560066
0.047000	2.558775
0.048000	2.563294
0.049000	2.567814
0.050000	2.573624
0.051000	2.574270
0.052000	2.568782
0.053000	2.562326
0.054000	2.561358
0.055000	2.564263
0.056000	2.565231
0.057000	2.561680
0.058000	2.550382
0.059000	2.534565
0.060000	2.518747
0.061000	2.512291
0.062000	2.518747
0.063000	2.529400
0.064000	2.540052
0.065000	2.543603
0.066000	2.537147
0.067000	2.529077
0.068000	2.516165
0.069000	2.501315
0.070000	2.486466
0.071000	2.473877
0.072000	2.467421
0.073000	2.462256
0.074000	2.458705
0.075000	2.459028
0.076000	2.464838
0.077000	2.475491
0.078000	2.485821
0.079000	2.496150
0.080000	2.501315
0.081000	2.506158
0.082000	2.509386
0.083000	2.515842
0.084000	2.522298
0.085000	2.531659
0.086000	2.540375
0.087000	2.548445
0.088000	2.556516
0.089000	2.570396
0.090000	2.586214
0.091000	2.596866
0.092000	2.597512
0.093000	2.589765
0.094000	2.581694
0.095000	2.575561
0.096000	2.571042
0.097000	2.568782
0.098000	2.567168
0.099000	2.569751
0.100000	2.577175
0.101000	2.583309
0.102000	2.591056
0.103000	2.598158
0.104000	2.603000
0.105000	2.608165
0.106000	2.612684
0.107000	2.611393
0.108000	2.595252
0.109000	2.567168
0.110000	2.531337
0.111000	2.495828
0.112000	2.464515
0.113000	2.439659
0.114000	2.422228
0.115000	2.417063
0.116000	2.420291
0.117000	2.436431
0.118000	2.458705
0.119000	2.479042
0.120000	2.501638
0.121000	2.522621
0.122000	2.540698
0.123000	2.556516
0.124000	2.569428
0.125000	2.581694
0.126000	2.593638
0.127000	2.599126
0.128000	2.594607
0.129000	2.581049
0.130000	2.561035
0.131000	2.537470
0.132000	2.515519
0.133000	2.500670
0.134000	2.495828
0.135000	2.501961
0.136000	2.519070
0.137000	2.541021
0.138000	2.557484
0.139000	2.565554
0.140000	2.564586
0.141000	2.563294
0.142000	2.561358
0.143000	2.561680
0.144000	2.559098
0.145000	2.555547
0.146000	2.553287
0.147000	2.549091
0.148000	2.542312
0.149000	2.531982
0.150000	2.523912
0.151000	2.520684
0.152000	2.523589
0.153000	2.527786
0.154000	2.536824
0.155000	2.553287
0.156000	2.574916
0.157000	2.596866
0.158000	2.619140
0.159000	2.642059
0.160000	2.663688
0.161000	2.680151
0.162000	2.684024
0.163000	2.674340
0.164000	2.662719
0.165000	2.654003
0.166000	2.639154
0.167000	2.615589
0.168000	2.590733
0.169000	2.576852
0.170000	2.574593
0.171000	2.583309
0.172000	2.594930
0.173000	2.603323
0.174000	2.608488
0.175000	2.616235
0.176000	2.628502
0.177000	2.639800
0.178000	2.645933
0.179000	2.642382
0.180000	2.632375
0.181000	2.618495
0.182000	2.605905
0.183000	2.594284
0.184000	2.576852
0.185000	2.555547
0.186000	2.538115
0.187000	2.527786
0.188000	2.521329
0.189000	2.519070
0.190000	2.524880
0.191000	2.540052
0.192000	2.554901
0.193000	2.565231
0.194000	2.575884
0.195000	2.585891
0.196000	2.595898
0.197000	2.601386
0.198000	2.602677
0.199000	2.605582
0.200000	2.614298
0.201000	2.622368
0.202000	2.626565
0.203000	2.628179
0.204000	2.626242
0.205000	2.632375
0.206000	2.639800
0.207000	2.642705
0.208000	2.635926
0.209000	2.627210
0.210000	2.621400
0.211000	2.623014
0.212000	2.620109
0.213000	2.605259
0.214000	2.592670
0.215000	2.586859
0.216000	2.585245
0.217000	2.590410
0.218000	2.604291
0.219000	2.619786
0.220000	2.630761
0.221000	2.636249
0.222000	2.645288
0.223000	2.654003
0.224000	2.663365
0.225000	2.659491
0.226000	2.638831
0.227000	2.609779
0.228000	2.582017
0.229000	2.561358
0.230000	2.550705
0.231000	2.547800
0.232000	2.548123
0.233000	2.543926
0.234000	2.531337
0.235000	2.512614
0.236000	2.500993
0.237000	2.504543
0.238000	2.519393
0.239000	2.541989
0.240000	2.567491
0.241000	2.589119
0.242000	2.607196
0.243000	2.611070
0.244000	2.607196
0.245000	2.599449
0.246000	2.577821
0.247000	2.538438
0.248000	2.508417
0.249000	2.507772
0.250000	2.512291
0.251000	2.501961
0.252000	2.486143
0.253000	2.475168
0.254000	2.463870
0.255000	2.448052
0.256000	2.432880
0.257000	2.423842
0.258000	2.413835
0.259000	2.406733
0.260000	2.401245
0.261000	2.400599
0.262000	2.400922
0.263000	2.402214
0.264000	2.404796
0.265000	2.412543
0.266000	2.422550
0.267000	2.429329
0.268000	2.441596
0.269000	2.456122
0.270000	2.468389
0.271000	2.473554
0.272000	2.476136
0.273000	2.479687
0.274000	2.487112
0.275000	2.496150
0.276000	2.491954
0.277000	2.473554
0.278000	2.446761
0.279000	2.416740
0.280000	2.382845
0.281000	2.351210
0.282000	2.328936
0.283000	2.312150
0.284000	2.300529
0.285000	2.288908
0.286000	2.284066
0.287000	2.290522
0.288000	2.304403
0.289000	2.322157
0.290000	2.346368
0.291000	2.376066
0.292000	2.395435
0.293000	2.402536
0.294000	2.403828
0.295000	2.408992
0.296000	2.417063
0.297000	2.425133
0.298000	2.435140
0.299000	2.447084
0.300000	2.454831
0.301000	2.447729
0.302000	2.433203
0.303000	2.421582
0.304000	2.417063
0.305000	2.421582
0.306000	2.434171
0.307000	2.453540
0.308000	2.467421
0.309000	2.468389
0.310000	2.455477
0.311000	2.424164
0.312000	2.379617
0.313000	2.351533
0.314000	2.355406
0.315000	2.373806
0.316000	2.391884
0.317000	2.407056
0.318000	2.427715
0.319000	2.457091
0.320000	2.481947
0.321000	2.494536
0.322000	2.500024
0.323000	2.500024
0.324000	2.489372
0.325000	2.468712
0.326000	2.448052
0.327000	2.438368
0.328000	2.450957
0.329000	2.477105
0.330000	2.491308
0.331000	2.488726
0.332000	2.480333
0.333000	2.482270
0.334000	2.499701
0.335000	2.517779
0.336000	2.524880
0.337000	2.523589
0.338000	2.504543
0.339000	2.470972
0.340000	2.438368
0.341000	2.418999
0.342000	2.417708
0.343000	2.428038
0.344000	2.448052
0.345000	2.467743
0.346000	2.472586
0.347000	2.459028
0.348000	2.433526
0.349000	2.425778
0.350000	2.441273
0.351000	2.467098
0.352000	2.494214
0.353000	2.523266
0.354000	2.543603
0.355000	2.557161
0.356000	2.559098
0.357000	2.556516
0.358000	2.573301
0.359000	2.611393
0.360000	2.652389
0.361000	2.686607
0.362000	2.709849
0.363000	2.726958
0.364000	2.731154
0.365000	2.712754
0.366000	2.696937
0.367000	2.693386
0.368000	2.691126
0.369000	2.675631
0.370000	2.644319
0.371000	2.605259
0.372000	2.554901
0.373000	2.492600
0.374000	2.429975
0.375000	2.376712
0.376000	2.344754
0.377000	2.335070
0.378000	2.339589
0.379000	2.352178
0.380000	2.366705
0.381000	2.393821
0.382000	2.428038
0.383000	2.451280
0.384000	2.465484
0.385000	2.487112
0.386000	2.525526
0.387000	2.567491
0.388000	2.606873
0.389000	2.646579
0.390000	2.701133
0.391000	2.771828
0.392000	2.842523
0.393000	2.912572
0.394000	2.978748
0.395000	3.025555
0.396000	3.054285
0.397000	3.056867
0.398000	3.017485
0.399000	2.955183
0.400000	2.867702
0.401000	2.769568
0.402000	2.703393
0.403000	2.675954
0.404000	2.685316
0.405000	2.721470
0.406000	2.753105
0.407000	2.743421
0.408000	2.703393
0.409000	2.659491
0.410000	2.631084
0.411000	2.621400
0.412000	2.613975
0.413000	2.605582
0.414000	2.600740
0.415000	2.604291
0.416000	2.620109
0.417000	2.635926
0.418000	2.654649
0.419000	2.675954
